"pic_name","detect.bcn","detect.cn","detect.n","detect.density","true.bcn","true.cn","true.n","true.density","true.area_mean","surface_tp","BRISONr","Genotype","code","breeder","Year_of_release","Quality_recent","Release_state","Hybrid.status","Group","RYear"
"T32L75_W3_A4_R6_P355_g225_8",22,1,23,28.5359801488834,19,4,23,28.5359801488834,2585.9426675081,"adaxial",225,"Nordkap","BRISONr_225","Nordsaat",2016,"A","Deutschland","non-hybrid",NA,2016
"T32L75_W3_A4_R6_P356_g173_3",22,0,22,27.2952853598015,16,6,22,27.2952853598015,2820.13081424465,"abaxial",173,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P356_g173_8",35,1,36,44.6650124069479,28,8,36,44.6650124069479,2472.71479796636,"adaxial",173,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P359_g126_3",20,2,22,27.2952853598015,16,6,22,27.2952853598015,2891.28894596058,"abaxial",126,"Disponent","BRISONr_126","Bayrische Saatzuchtgesellschaft",1975,"A","Deutschland","non-hybrid","SL",1975
"T32L75_W3_A4_R6_P359_g126_6",28,0,28,34.7394540942928,23,5,28,34.7394540942928,2564.66528445811,"adaxial",126,"Disponent","BRISONr_126","Bayrische Saatzuchtgesellschaft",1975,"A","Deutschland","non-hybrid","SL",1975
"T32L75_W3_A4_R6_P360_g150_2",11,8,19,23.5732009925558,9,10,19,23.5732009925558,2893.32283418215,"abaxial",150,"Diplomat","BRISONr_150","Firlbeck",1966,"A","Deutschland","non-hybrid","SL",1966
"T32L75_W3_A4_R6_P360_g150_7",17,7,24,29.7766749379653,12,12,24,29.7766749379653,2973.37821044693,"adaxial",150,"Diplomat","BRISONr_150","Firlbeck",1966,"A","Deutschland","non-hybrid","SL",1966
"T32L75_W3_A4_R6_P361_g190_2",23,3,26,32.258064516129,17,9,26,32.258064516129,2641.21731435249,"abaxial",190,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P361_g190_5",28,2,30,37.2208436724566,21,9,30,37.2208436724566,2854.93963826208,"adaxial",190,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P362_g136_1",11,4,15,18.6104218362283,5,10,15,18.6104218362283,3363.33814423787,"abaxial",136,"Akratos","BRISONr_136","Strube Saatzucht",2004,"A","Deutschland","non-hybrid","SL",2004
"T32L75_W3_A4_R6_P362_g136_7",16,6,22,27.2952853598015,15,7,22,27.2952853598015,2905.46675111731,"adaxial",136,"Akratos","BRISONr_136","Strube Saatzucht",2004,"A","Deutschland","non-hybrid","SL",2004
"T32L75_W3_A4_R6_P365_g166_4",12,16,28,34.7394540942928,17,11,28,34.7394540942928,2171.17768435989,"abaxial",166,"Caribo","BRISONr_166","Heidenreich und Eger",1968,"B","Deutschland","non-hybrid","SL",1968
"T32L75_W3_A4_R6_P365_g166_8",23,6,29,35.9801488833747,21,8,29,35.9801488833747,2310.62614343498,"adaxial",166,"Caribo","BRISONr_166","Heidenreich und Eger",1968,"B","Deutschland","non-hybrid","SL",1968
"T32L75_W3_A4_R6_P368_g199_4",9,8,17,21.0918114143921,8,9,17,21.0918114143921,2928.02823529412,"abaxial",199,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P368_g199_8",17,7,24,29.7766749379653,11,13,24,29.7766749379653,2533.09007269547,"adaxial",199,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P372_g180_2",18,0,18,22.3325062034739,16,2,18,22.3325062034739,3296.99036971582,"abaxial",180,"Premio","BRISONr_180","RAGT",2006,"B","Frankreich","non-hybrid","FK",2006
"T32L75_W3_A4_R6_P372_g180_5",27,1,28,34.7394540942928,20,8,28,34.7394540942928,3200.43108985737,"adaxial",180,"Premio","BRISONr_180","RAGT",2006,"B","Frankreich","non-hybrid","FK",2006
"T32L75_W3_A4_R6_P373_g203_3",10,6,16,19.8511166253102,8,9,17,21.0918114143921,3057.25650356395,"abaxial",203,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P373_g203_6",22,6,28,34.7394540942928,22,6,28,34.7394540942928,2491,"adaxial",203,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P375_g171_2",13,3,16,19.8511166253102,4,12,16,19.8511166253102,3222.9677115733,"abaxial",171,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P375_g171_5",26,3,29,35.9801488833747,27,2,29,35.9801488833747,2675.01047054566,"adaxial",171,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P376_g222_4",17,1,18,22.3325062034739,13,5,18,22.3325062034739,2913.22632651529,"abaxial",222,"RGT Reform","BRISONr_222","RAGT",2014,"A","Deutschland","non-hybrid",NA,2014
"T32L75_W3_A4_R6_P376_g222_7",24,2,26,32.258064516129,23,4,27,33.4987593052109,2995.01488143366,"adaxial",222,"RGT Reform","BRISONr_222","RAGT",2014,"A","Deutschland","non-hybrid",NA,2014
"T32L75_W3_A4_R6_P377_g209_3",11,7,18,22.3325062034739,4,14,18,22.3325062034739,3579.48308584178,"abaxial",209,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P377_g209_8",10,12,22,27.2952853598015,13,9,22,27.2952853598015,3549.07502611273,"adaxial",209,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
